column,correlated_with,pearson_r,p_value
DFS_STATUS,OS_STATUS,0.7544,0.0
DFS_MONTHS,OS_STATUS,0.7494,0.0
DFS_STATUS,INITIAL_PATHOLOGIC_DX_YEAR,-0.3782,0.0
DFS_MONTHS,INITIAL_PATHOLOGIC_DX_YEAR,-0.3782,0.0
LYMPH_NODES_EXAMINED_HE_COUNT,HER2_AND_CENT17_CELLS_COUNT,0.3348,0.000514
LYMPH_NODE_EXAMINED_COUNT,HER2_AND_CENT17_CELLS_COUNT,0.2436,0.012693
LYMPH_NODES_EXAMINED_HE_COUNT,DFS_MONTHS,-0.2108,0.0
LYMPH_NODES_EXAMINED_HE_COUNT,OS_MONTHS,-0.2022,0.0
HER2_IHC_SCORE,OS_STATUS,0.198,0.0
HER2_CENT17_RATIO,HER2_IHC_SCORE,-0.1881,2e-06
HER2_IHC_SCORE,INITIAL_PATHOLOGIC_DX_YEAR,-0.1863,0.0
LYMPH_NODE_EXAMINED_COUNT,DFS_MONTHS,-0.1843,0.0
LYMPH_NODE_EXAMINED_COUNT,OS_MONTHS,-0.173,0.0
LYMPH_NODE_EXAMINED_COUNT,AGE,0.1725,0.0
HER2_IHC_SCORE,OS_MONTHS,0.1683,0.0
LYMPH_NODE_EXAMINED_COUNT,LYMPH_NODES_EXAMINED_HE_COUNT,0.1675,0.0
IHC_SCORE,HER2_AND_CENT17_CELLS_COUNT,0.1609,0.102822
LYMPH_NODES_EXAMINED_HE_COUNT,AGE,0.1517,0.0
HER2_IHC_SCORE,HER2_AND_CENT17_CELLS_COUNT,-0.1473,0.135616
DFS_MONTHS,AGE,0.1437,2e-06
DFS_STATUS,AGE,0.1437,2e-06
HER2_AND_CENT17_CELLS_COUNT,HER2_IHC_SCORE,-0.1414,0.000405
IHC_SCORE,HER2_IHC_SCORE,0.1408,0.000429
HER2_IHC_SCORE,IHC_SCORE,0.1393,0.041846
LYMPH_NODES_EXAMINED_HE_COUNT,LYMPH_NODE_EXAMINED_COUNT,-0.1386,1.5e-05
LYMPH_NODES_EXAMINED_IHC_COUNT,LYMPH_NODES_EXAMINED_HE_COUNT,0.1386,2.3e-05
IHC_SCORE,OS_STATUS,0.1375,5e-06
DFS_STATUS,LYMPH_NODES_EXAMINED_IHC_COUNT,0.1322,0.014009
DFS_MONTHS,LYMPH_NODES_EXAMINED_IHC_COUNT,0.1322,0.014009
LYMPH_NODES_EXAMINED_IHC_COUNT,INITIAL_PATHOLOGIC_DX_YEAR,-0.1268,2.6e-05
LYMPH_NODES_EXAMINED_IHC_COUNT,LYMPH_NODE_EXAMINED_COUNT,0.1229,0.000123
HER2_CENT17_RATIO,DFS_MONTHS,-0.1221,0.000105
LYMPH_NODES_EXAMINED_IHC_COUNT,HER2_AND_CENT17_CELLS_COUNT,0.1185,0.231004
IHC_SCORE,INITIAL_PATHOLOGIC_DX_YEAR,-0.1136,0.000167
LYMPH_NODES_EXAMINED_IHC_COUNT,HER2_CENT17_RATIO,0.1131,0.085008
HER2_IHC_SCORE,DFS_MONTHS,0.1104,0.00046
HER2_IHC_SCORE,LYMPH_NODES_EXAMINED_IHC_COUNT,0.1085,0.04408
LYMPH_NODES_EXAMINED_IHC_COUNT,OS_STATUS,0.1069,0.000392
NTE_CENT_17_HER2_RATIO,OS_STATUS,-0.1066,0.000407
LYMPH_NODES_EXAMINED_IHC_COUNT,HER2_IHC_SCORE,0.1056,0.008403
