column,pct_missing,classification
NTE_PR_IHC_INTENSITY_SCORE,99.91,indeterminate
NTE_CENT_17_HER2_RATIO,99.82,MAR
HER2_AND_CENT17_CELLS_COUNT,90.55,MAR + possible MNAR
IHC_SCORE,80.56,MAR + possible MNAR
HER2_CENT17_RATIO,78.84,MAR + possible MNAR
LYMPH_NODES_EXAMINED_IHC_COUNT,68.66,MAR
HER2_IHC_SCORE,43.51,MAR + possible MNAR
LYMPH_NODES_EXAMINED_HE_COUNT,15.62,MAR + possible MNAR
LYMPH_NODE_EXAMINED_COUNT,11.81,MAR + possible MNAR
DFS_MONTHS,8.81,MAR + possible MNAR
DFS_STATUS,8.72,MAR
INITIAL_PATHOLOGIC_DX_YEAR,0.64,possible MNAR
AGE,0.45,possible MNAR
DAYS_TO_INITIAL_PATHOLOGIC_DIAGNOSIS,0.45,indeterminate
OS_MONTHS,0.45,possible MNAR
OS_STATUS,0.36,indeterminate
